code_station;polluant;valeur;unite;statut_valid;date;Année;Mois
70;PM10;4.0;microg/m3;True;2020-01-08;2020;1
70;PM10;11.0;microg/m3;True;2020-01-09;2020;1
70;PM10;11.0;microg/m3;True;2020-01-10;2020;1
70;PM10;16.0;microg/m3;True;2020-01-11;2020;1
70;PM10;11.0;microg/m3;True;2020-01-12;2020;1
70;PM10;6.0;microg/m3;True;2020-01-13;2020;1
70;PM10;9.0;microg/m3;True;2020-01-14;2020;1
70;PM10;13.0;microg/m3;True;2020-01-15;2020;1
70;PM10;12.0;microg/m3;True;2020-01-16;2020;1
70;PM10;9.0;microg/m3;True;2020-01-17;2020;1
70;PM10;8.0;microg/m3;True;2020-01-18;2020;1
70;PM10;10.0;microg/m3;True;2020-01-19;2020;1
70;PM10;15.0;microg/m3;True;2020-01-20;2020;1
70;PM10;19.0;microg/m3;True;2020-01-21;2020;1
70;PM10;28.0;microg/m3;True;2020-01-22;2020;1
70;PM10;35.0;microg/m3;True;2020-01-23;2020;1
70;PM10;37.0;microg/m3;True;2020-01-24;2020;1
70;PM10;35.0;microg/m3;True;2020-01-25;2020;1
70;PM10;16.0;microg/m3;True;2020-01-26;2020;1
70;PM10;9.0;microg/m3;True;2020-01-27;2020;1
70;PM10;10.0;microg/m3;True;2020-01-28;2020;1
70;PM10;12.0;microg/m3;True;2020-01-29;2020;1
70;PM10;6.0;microg/m3;True;2020-01-30;2020;1
70;PM10;3.0;microg/m3;True;2020-01-31;2020;1
70;PM10;5.0;microg/m3;True;2020-02-01;2020;2
70;PM10;12.0;microg/m3;True;2020-02-02;2020;2
70;PM10;19.0;microg/m3;True;2020-02-03;2020;2
70;PM10;;;False;2020-02-04;2020;2
70;PM10;;;False;2020-02-05;2020;2
70;PM10;9.0;microg/m3;True;2020-02-06;2020;2
70;PM10;17.0;microg/m3;True;2020-02-07;2020;2
70;PM10;11.0;microg/m3;True;2020-02-08;2020;2
70;PM10;9.0;microg/m3;True;2020-02-09;2020;2
70;PM10;34.0;microg/m3;True;2020-02-10;2020;2
70;PM10;15.0;microg/m3;True;2020-02-11;2020;2
70;PM10;7.0;microg/m3;True;2020-02-12;2020;2
70;PM10;19.0;microg/m3;True;2020-02-13;2020;2
70;PM10;21.0;microg/m3;True;2020-02-14;2020;2
70;PM10;10.0;microg/m3;True;2020-02-15;2020;2
70;PM10;8.0;microg/m3;True;2020-02-16;2020;2
70;PM10;8.0;microg/m3;True;2020-02-17;2020;2
70;PM10;7.0;microg/m3;True;2020-02-18;2020;2
70;PM10;10.0;microg/m3;True;2020-02-19;2020;2
70;PM10;8.0;microg/m3;True;2020-02-20;2020;2
70;PM10;14.0;microg/m3;True;2020-02-21;2020;2
70;PM10;10.0;microg/m3;True;2020-02-22;2020;2
70;PM10;1.0;microg/m3;True;2020-02-23;2020;2
70;PM10;1.0;microg/m3;True;2020-02-24;2020;2
70;PM10;6.0;microg/m3;True;2020-02-25;2020;2
70;PM10;9.0;microg/m3;True;2020-02-26;2020;2
70;PM10;8.0;microg/m3;True;2020-02-27;2020;2
70;PM10;29.0;microg/m3;True;2020-02-28;2020;2
70;PM10;22.0;microg/m3;True;2020-02-29;2020;2
70;PM10;6.0;microg/m3;True;2020-03-01;2020;3
78;PM10;14.0;microg/m3;True;2019-12-01;2019;12
78;PM10;14.0;microg/m3;True;2019-12-02;2019;12
