nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
"Maine et Loire";Angers;"Beaux Arts";120;PM10;15;microg/m3;"moyenne journalière";V;2019-12-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;11;microg/m3;"moyenne journalière";V;2019-12-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;21;microg/m3;"moyenne journalière";V;2019-12-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;30;microg/m3;"moyenne journalière";V;2019-12-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;28;microg/m3;"moyenne journalière";V;2019-12-05;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;18;microg/m3;"moyenne journalière";V;2019-12-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;9;microg/m3;"moyenne journalière";V;2019-12-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;10;microg/m3;"moyenne journalière";V;2019-12-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;19;microg/m3;"moyenne journalière";V;2019-12-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;21;microg/m3;"moyenne journalière";V;2019-12-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;9;microg/m3;"moyenne journalière";V;2019-12-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;10;microg/m3;"moyenne journalière";V;2019-12-12;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;12;microg/m3;"moyenne journalière";V;2019-12-13;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2019-12-14;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;12;microg/m3;"moyenne journalière";V;2019-12-15;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;11;microg/m3;"moyenne journalière";V;2019-12-16;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;15;microg/m3;"moyenne journalière";V;2019-12-17;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;16;microg/m3;"moyenne journalière";V;2019-12-18;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;20;microg/m3;"moyenne journalière";V;2019-12-19;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;10;microg/m3;"moyenne journalière";V;2019-12-20;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2019-12-21;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;12;microg/m3;"moyenne journalière";V;2019-12-22;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;19;microg/m3;"moyenne journalière";V;2019-12-23;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;16;microg/m3;"moyenne journalière";V;2019-12-24;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;18;microg/m3;"moyenne journalière";V;2019-12-25;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;23;microg/m3;"moyenne journalière";V;2019-12-26;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2019-12-27;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;11;microg/m3;"moyenne journalière";V;2019-12-28;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;18;microg/m3;"moyenne journalière";V;2019-12-29;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;30;microg/m3;"moyenne journalière";V;2019-12-30;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;23;microg/m3;"moyenne journalière";V;2019-12-31;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;18;microg/m3;"moyenne journalière";V;2020-01-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2020-01-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;12;microg/m3;"moyenne journalière";V;2020-01-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;21;microg/m3;"moyenne journalière";V;2020-01-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2020-01-05;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;17;microg/m3;"moyenne journalière";V;2020-01-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;9;microg/m3;"moyenne journalière";V;2020-01-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;8;microg/m3;"moyenne journalière";V;2020-01-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;11;microg/m3;"moyenne journalière";V;2020-01-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;15;microg/m3;"moyenne journalière";V;2020-01-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;16;microg/m3;"moyenne journalière";V;2020-01-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2020-01-12;UTC
