nom_dept;nom_com;code_insee_com;nom_station;code_station;typologie;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;x_reglementaire;y_reglementaire;source
Mayenne;Saint-Denis-d'Anjou;53210;St-Denis d'Anjou;FR23177;rural-regional;NO2;8;-999.0;µg/m3;mensuelle;2021-03-01 00:00:00+00:00;2021-04-01 00:00:00+00:00;False;442146.25739316;6748729.60008223;Air Pays de la Loire
Loire-Atlantique;Saint-Nazaire;44184;Parc paysager;FR23181;urban;NO2;8;-999.0;µg/m3;mensuelle;2021-03-01 00:00:00+00:00;2021-04-01 00:00:00+00:00;False;305403.885354155;6698924.13470394;Air Pays de la Loire
Sarthe;Le Mans;72181;Sources;FR23182;urban;NO2;8;-999.0;µg/m3;mensuelle;2021-03-01 00:00:00+00:00;2021-04-01 00:00:00+00:00;False;492698.552265724;6767064.74857554;Air Pays de la Loire
Loire-Atlantique;Nantes;44109;Bouteillerie;FR23188;urban;NO2;8;-999.0;µg/m3;mensuelle;2021-03-01 00:00:00+00:00;2021-04-01 00:00:00+00:00;False;356823.83614176104;6690071.40916714;Air Pays de la Loire
Loire-Atlantique;Rezé;44143;Trentemoult;FR23238;urban;NO2;8;-999.0;µg/m3;mensuelle;2021-03-01 00:00:00+00:00;2021-04-01 00:00:00+00:00;False;353300.207665084;6687156.52659728;Air Pays de la Loire
Loire-Atlantique;Bouguenais;44020;Les Couëts;FR23239;urban;NO2;8;-999.0;µg/m3;mensuelle;2021-03-01 00:00:00+00:00;2021-04-01 00:00:00+00:00;False;352504.91798131797;6686287.29081938;Air Pays de la Loire
Loire-Atlantique;Donges;44052;Ampère;FR23001;suburban;NO2;8;7.9;µg/m3;mensuelle;2021-02-01 00:00:00+00:00;2021-03-01 00:00:00+00:00;True;316466.782210571;6703891.20986053;Air Pays de la Loire
Loire-Atlantique;Donges;44052;Mégretais;FR23003;suburban;NO2;8;7.2;µg/m3;mensuelle;2021-02-01 00:00:00+00:00;2021-03-01 00:00:00+00:00;True;319631.265310248;6703516.892939799;Air Pays de la Loire
Loire-Atlantique;Donges;44052;Bossènes;FR23046;suburban;NO2;8;7.1;µg/m3;mensuelle;2021-02-01 00:00:00+00:00;2021-03-01 00:00:00+00:00;True;315480.257937148;6702714.07999788;Air Pays de la Loire
Loire-Atlantique;Frossay;44061;Frossay;FR23068;rural-nearcity;NO2;8;5.3;µg/m3;mensuelle;2021-02-01 00:00:00+00:00;2021-03-01 00:00:00+00:00;True;326851.68236097397;6694673.19531676;Air Pays de la Loire
Loire-Atlantique;Saint-Étienne-de-Montluc;44158;St-Etienne de Montluc;FR23070;suburban;NO2;8;5.7;µg/m3;mensuelle;2021-02-01 00:00:00+00:00;2021-03-01 00:00:00+00:00;True;338676.42390903604;6697925.91450153;Air Pays de la Loire
