nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
"Maine et Loire";Angers;"Beaux Arts";120;NO2;3;microg/m3;"moyenne journalière";V;2019-09-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2019-09-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-09-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;12;microg/m3;"moyenne journalière";V;2019-09-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2019-09-05;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-09-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2019-09-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-09-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;20;microg/m3;"moyenne journalière";V;2019-09-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2019-09-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;13;microg/m3;"moyenne journalière";V;2019-09-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2019-09-12;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-09-13;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-09-14;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-09-15;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;13;microg/m3;"moyenne journalière";V;2019-09-16;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2019-09-17;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;9;microg/m3;"moyenne journalière";V;2019-09-18;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2019-09-19;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-09-20;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2019-09-21;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2019-09-22;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-09-23;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2019-09-24;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;9;microg/m3;"moyenne journalière";V;2019-09-25;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2019-09-26;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2019-09-27;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2019-09-28;UTC
