nom_dept;nom_com;code_insee_com;nom_station;code_station;typologie;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;x_reglementaire;y_reglementaire;source
Loire-Atlantique;Nantes;44109;Chauvinière;FR23107;urban;NO2;8;17.0;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;354313.235770181;6693636.21956337;Air Pays de la Loire
Loire-Atlantique;Saint-Nazaire;44184;Blum;FR23110;urban;NO2;8;15.0;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;303302.16439038;6698059.67152604;Air Pays de la Loire
Maine-et-Loire;Angers;49007;Beaux-Arts;FR23120;urban;NO2;8;16.0;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;432231.149204996;6713600.72883131;Air Pays de la Loire
Mayenne;Laval;53130;Mazagran;FR23123;urban;NO2;8;16.0;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;419447.05513753;6781027.24113957;Air Pays de la Loire
Vendée;La Tardière;85289;La Tardière;FR23124;rural-remote;NO2;8;4.9;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;413852.842080118;6624178.29807408;Air Pays de la Loire
Loire-Atlantique;Nantes;44109;Victor-Hugo;FR23140;urban;NO2;8;28.0;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;355542.164899884;6688165.00491344;Air Pays de la Loire
Maine-et-Loire;Angers;49007;Appentis;FR23150;urban;NO2;8;15.0;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;432564.458384405;6711233.09728291;Air Pays de la Loire
Vendée;La Roche-sur-Yon;85191;Delacroix;FR23152;urban;NO2;8;8.3;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;360919.202113302;6627370.06337309;Air Pays de la Loire
Loire-Atlantique;Montoir-de-Bretagne;44103;Montoir-de-Bretagne;FR23153;suburban;NO2;8;6.3;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;311238.6773168;6705004.85914884;Air Pays de la Loire
Sarthe;Le Mans;72181;Guédou;FR23174;urban;NO2;8;16.0;µg/m3;journalière;2021-02-25 00:00:00+00:00;2021-02-26 00:00:00+00:00;True;490882.915323286;6769108.85711881;Air Pays de la Loire
