nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
"Maine et Loire";Angers;"Beaux Arts";120;NO2;18;microg/m3;"moyenne journalière";V;2019-03-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2019-03-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2019-03-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;9;microg/m3;"moyenne journalière";V;2019-03-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;14;microg/m3;"moyenne journalière";V;2019-03-05;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;19;microg/m3;"moyenne journalière";V;2019-03-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;12;microg/m3;"moyenne journalière";V;2019-03-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;15;microg/m3;"moyenne journalière";V;2019-03-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2019-03-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;6;microg/m3;"moyenne journalière";V;2019-03-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;16;microg/m3;"moyenne journalière";V;2019-03-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;15;microg/m3;"moyenne journalière";V;2019-03-12;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;12;microg/m3;"moyenne journalière";V;2019-03-13;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;9;microg/m3;"moyenne journalière";V;2019-03-14;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2019-03-15;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;6;microg/m3;"moyenne journalière";V;2019-03-16;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2019-03-17;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;15;microg/m3;"moyenne journalière";V;2019-03-18;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;28;microg/m3;"moyenne journalière";V;2019-03-19;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;31;microg/m3;"moyenne journalière";V;2019-03-20;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;17;microg/m3;"moyenne journalière";V;2019-03-21;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;34;microg/m3;"moyenne journalière";V;2019-03-22;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;22;microg/m3;"moyenne journalière";V;2019-03-23;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-03-24;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;13;microg/m3;"moyenne journalière";V;2019-03-25;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;14;microg/m3;"moyenne journalière";V;2019-03-26;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;14;microg/m3;"moyenne journalière";V;2019-03-27;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;15;microg/m3;"moyenne journalière";V;2019-03-28;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;16;microg/m3;"moyenne journalière";V;2019-03-29;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;25;microg/m3;"moyenne journalière";V;2019-03-30;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;13;microg/m3;"moyenne journalière";V;2019-03-31;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;16;microg/m3;"moyenne journalière";V;2019-04-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;15;microg/m3;"moyenne journalière";V;2019-04-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;18;microg/m3;"moyenne journalière";V;2019-04-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;18;microg/m3;"moyenne journalière";V;2019-04-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;15;microg/m3;"moyenne journalière";V;2019-04-05;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;15;microg/m3;"moyenne journalière";V;2019-04-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-04-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;21;microg/m3;"moyenne journalière";V;2019-04-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;17;microg/m3;"moyenne journalière";V;2019-04-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;17;microg/m3;"moyenne journalière";V;2019-04-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;13;microg/m3;"moyenne journalière";V;2019-04-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;14;microg/m3;"moyenne journalière";V;2019-04-12;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;14;microg/m3;"moyenne journalière";V;2019-04-13;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2019-04-14;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-04-15;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;13;microg/m3;"moyenne journalière";V;2019-04-16;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-04-17;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;12;microg/m3;"moyenne journalière";V;2019-04-18;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;21;microg/m3;"moyenne journalière";V;2019-04-19;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-04-20;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-04-21;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2019-04-22;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;17;microg/m3;"moyenne journalière";V;2019-04-23;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2019-04-24;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2019-04-25;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;12;microg/m3;"moyenne journalière";V;2019-04-26;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2019-04-27;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2019-04-28;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;;;"moyenne journalière";;2019-04-29;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;15;microg/m3;"moyenne journalière";V;2019-04-30;UTC
