nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Loire-Atlantique;Nantes;Chauvinière;107;NO2;7;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;18;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;20;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;19;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;10;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;8;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;9;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;10;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;13;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;23;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;17;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;6;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;10;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;;;"moyenne journalière";;2021-03-13;UTC
Mayenne;Laval;Mazagran;123;NO2;12;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Mayenne;Laval;Mazagran;123;NO2;24;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Mayenne;Laval;Mazagran;123;NO2;25;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Mayenne;Laval;Mazagran;123;NO2;18;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Mayenne;Laval;Mazagran;123;NO2;13;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Mayenne;Laval;Mazagran;123;NO2;11;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Mayenne;Laval;Mazagran;123;NO2;13;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Mayenne;Laval;Mazagran;123;NO2;12;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Mayenne;Laval;Mazagran;123;NO2;18;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Mayenne;Laval;Mazagran;123;NO2;30;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Mayenne;Laval;Mazagran;123;NO2;13;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Mayenne;Laval;Mazagran;123;NO2;6;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Mayenne;Laval;Mazagran;123;NO2;7;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Mayenne;Laval;Mazagran;123;NO2;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;10;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;23;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;12;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;7;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;14;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;16;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;14;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;12;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;17;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;17;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;6;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;2;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;3;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Loire-Atlantique;Saint-Nazaire;"Parc Paysager";181;NO2;;;"moyenne journalière";;2021-03-13;UTC
Vendée;Vendée;"La Tardière";124;NO2;4;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Vendée;Vendée;"La Tardière";124;NO2;6;microg/m3;"moyenne journalière";V;2021-03-01;UTC
