nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Mayenne;Laval;Mazagran;123;PM10;6;microg/m3;"moyenne journalière";V;2020-03-02;UTC
Mayenne;Laval;Mazagran;123;PM10;11;microg/m3;"moyenne journalière";V;2020-03-03;UTC
Mayenne;Laval;Mazagran;123;PM10;11;microg/m3;"moyenne journalière";V;2020-03-04;UTC
Mayenne;Laval;Mazagran;123;PM10;6;microg/m3;"moyenne journalière";V;2020-03-05;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2020-03-06;UTC
Mayenne;Laval;Mazagran;123;PM10;18;microg/m3;"moyenne journalière";V;2020-03-07;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2020-03-08;UTC
Mayenne;Laval;Mazagran;123;PM10;13;microg/m3;"moyenne journalière";V;2020-03-09;UTC
Mayenne;Laval;Mazagran;123;PM10;4;microg/m3;"moyenne journalière";V;2020-03-10;UTC
Mayenne;Laval;Mazagran;123;PM10;9;microg/m3;"moyenne journalière";V;2020-03-11;UTC
Mayenne;Laval;Mazagran;123;PM10;12;microg/m3;"moyenne journalière";V;2020-03-12;UTC
Mayenne;Laval;Mazagran;123;PM10;14;microg/m3;"moyenne journalière";V;2020-03-13;UTC
Mayenne;Laval;Mazagran;123;PM10;8;microg/m3;"moyenne journalière";V;2020-03-14;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2020-03-15;UTC
Mayenne;Laval;Mazagran;123;PM10;10;microg/m3;"moyenne journalière";V;2020-03-16;UTC
Mayenne;Laval;Mazagran;123;PM10;22;microg/m3;"moyenne journalière";V;2020-03-17;UTC
Mayenne;Laval;Mazagran;123;PM10;21;microg/m3;"moyenne journalière";V;2020-03-18;UTC
Mayenne;Laval;Mazagran;123;PM10;23;microg/m3;"moyenne journalière";V;2020-03-19;UTC
