nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Loire-Atlantique;Nantes;Chauvinière;107;NO2;14;microg/m3;"moyenne journalière";V;2020-10-30;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;7;microg/m3;"moyenne journalière";V;2020-10-31;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;2;microg/m3;"moyenne journalière";V;2020-11-01;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;9;microg/m3;"moyenne journalière";V;2020-11-02;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;19;microg/m3;"moyenne journalière";V;2020-11-03;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;16;microg/m3;"moyenne journalière";V;2020-11-04;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;11;microg/m3;"moyenne journalière";V;2020-11-05;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;16;microg/m3;"moyenne journalière";V;2020-11-06;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;11;microg/m3;"moyenne journalière";V;2020-11-07;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;7;microg/m3;"moyenne journalière";V;2020-11-08;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;11;microg/m3;"moyenne journalière";V;2020-11-09;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;23;microg/m3;"moyenne journalière";V;2020-11-10;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;7;microg/m3;"moyenne journalière";V;2020-11-11;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;21;microg/m3;"moyenne journalière";V;2020-11-12;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;12;microg/m3;"moyenne journalière";V;2020-11-13;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;6;microg/m3;"moyenne journalière";V;2020-11-14;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;3;microg/m3;"moyenne journalière";V;2020-11-15;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;16;microg/m3;"moyenne journalière";V;2020-11-16;UTC
Loire-Atlantique;Nantes;Chauvinière;107;NO2;25;microg/m3;"moyenne journalière";V;2020-11-17;UTC
