nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
"Maine et Loire";Angers;"Beaux Arts";120;PM10;8;microg/m3;"moyenne journalière";V;2020-07-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;9;microg/m3;"moyenne journalière";V;2020-07-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;10;microg/m3;"moyenne journalière";V;2020-07-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;8;microg/m3;"moyenne journalière";V;2020-07-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;6;microg/m3;"moyenne journalière";V;2020-07-05;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;18;microg/m3;"moyenne journalière";V;2020-07-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;16;microg/m3;"moyenne journalière";V;2020-07-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2020-07-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2020-07-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;10;microg/m3;"moyenne journalière";V;2020-07-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;10;microg/m3;"moyenne journalière";V;2020-07-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;11;microg/m3;"moyenne journalière";V;2020-07-12;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;16;microg/m3;"moyenne journalière";V;2020-07-13;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;11;microg/m3;"moyenne journalière";V;2020-07-14;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;12;microg/m3;"moyenne journalière";V;2020-07-15;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2020-07-16;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2020-07-17;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;16;microg/m3;"moyenne journalière";V;2020-07-18;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;21;microg/m3;"moyenne journalière";V;2020-07-19;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;19;microg/m3;"moyenne journalière";V;2020-07-20;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;20;microg/m3;"moyenne journalière";V;2020-07-21;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;19;microg/m3;"moyenne journalière";V;2020-07-22;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;22;microg/m3;"moyenne journalière";V;2020-07-23;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;13;microg/m3;"moyenne journalière";V;2020-07-24;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;10;microg/m3;"moyenne journalière";V;2020-07-25;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;9;microg/m3;"moyenne journalière";V;2020-07-26;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;12;microg/m3;"moyenne journalière";V;2020-07-27;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;16;microg/m3;"moyenne journalière";V;2020-07-28;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;14;microg/m3;"moyenne journalière";V;2020-07-29;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;;;"moyenne journalière";;2020-07-30;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;;;"moyenne journalière";;2020-07-31;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;9;microg/m3;"moyenne journalière";V;2020-08-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;8;microg/m3;"moyenne journalière";V;2020-08-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;9;microg/m3;"moyenne journalière";V;2020-08-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;PM10;11;microg/m3;"moyenne journalière";V;2020-08-04;UTC
