nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;6;microg/m3;"moyenne journalière";V;2020-07-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2020-07-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;3;microg/m3;"moyenne journalière";V;2020-07-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;2;microg/m3;"moyenne journalière";V;2020-07-05;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2020-07-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2020-07-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2020-07-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-12;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2020-07-13;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;3;microg/m3;"moyenne journalière";V;2020-07-14;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;6;microg/m3;"moyenne journalière";V;2020-07-15;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2020-07-16;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2020-07-17;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-18;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-19;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2020-07-20;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;6;microg/m3;"moyenne journalière";V;2020-07-21;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2020-07-22;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;9;microg/m3;"moyenne journalière";V;2020-07-23;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2020-07-24;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-25;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;3;microg/m3;"moyenne journalière";V;2020-07-26;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2020-07-27;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-07-28;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;6;microg/m3;"moyenne journalière";V;2020-07-29;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;;;"moyenne journalière";;2020-07-30;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2020-07-31;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-08-01;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;3;microg/m3;"moyenne journalière";V;2020-08-02;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-08-03;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2020-08-04;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;10;microg/m3;"moyenne journalière";V;2020-08-05;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;12;microg/m3;"moyenne journalière";V;2020-08-06;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;18;microg/m3;"moyenne journalière";V;2020-08-07;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2020-08-08;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;6;microg/m3;"moyenne journalière";V;2020-08-09;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;13;microg/m3;"moyenne journalière";V;2020-08-10;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;16;microg/m3;"moyenne journalière";V;2020-08-11;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;11;microg/m3;"moyenne journalière";V;2020-08-12;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2020-08-13;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2020-08-14;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2020-08-15;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;4;microg/m3;"moyenne journalière";V;2020-08-16;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;6;microg/m3;"moyenne journalière";V;2020-08-17;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;7;microg/m3;"moyenne journalière";V;2020-08-18;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;9;microg/m3;"moyenne journalière";V;2020-08-19;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;8;microg/m3;"moyenne journalière";V;2020-08-20;UTC
"Maine et Loire";Angers;"Beaux Arts";120;NO2;5;microg/m3;"moyenne journalière";V;2020-08-21;UTC
