nom_departement;nom_zone;nom_station;code_station;polluant;niveau;unite;mesure;etat;date;TZ
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;26;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;31;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;40;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;35;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;22;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;20;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;21;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;27;microg/m3;"moyenne journalière";V;2021-03-07;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;37;microg/m3;"moyenne journalière";V;2021-03-08;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;37;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;40;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;14;microg/m3;"moyenne journalière";V;2021-03-11;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;15;microg/m3;"moyenne journalière";V;2021-03-12;UTC
Mayenne;Mayenne;"Saint-Denis d'Anjou";177;PM10;;;"moyenne journalière";;2021-03-13;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;22;microg/m3;"moyenne journalière";V;2021-02-28;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;33;microg/m3;"moyenne journalière";V;2021-03-01;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;44;microg/m3;"moyenne journalière";V;2021-03-02;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;36;microg/m3;"moyenne journalière";V;2021-03-03;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;23;microg/m3;"moyenne journalière";V;2021-03-04;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;17;microg/m3;"moyenne journalière";V;2021-03-05;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;20;microg/m3;"moyenne journalière";V;2021-03-06;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;;;"moyenne journalière";;2021-03-07;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;;;"moyenne journalière";;2021-03-08;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;40;microg/m3;"moyenne journalière";V;2021-03-09;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;37;microg/m3;"moyenne journalière";V;2021-03-10;UTC
Loire-Atlantique;Nantes;"Victor Hugo";140;PM10;20;microg/m3;"moyenne journalière";V;2021-03-11;UTC
